Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Xander Schauffele,57.68,2017,67.74,29.1,56.95,70.163,988,48.0,303.2
Marc Leishman,57.64,2017,67.38,28.77,60.99,69.468,"1,324",94.0,298.1
Kevin Chappell,57.61,2017,65.05,29.35,56.56,70.779,"1,015",95.0,304.7
Hideki Matsuyama,57.61,2017,69.14,28.96,61.25,69.624,"2,869",83.0,302.9
Bryce Molder,57.6,2017,61.79,28.66,59.14,71.817,109,74.0,277.0
Robert Streb,57.58,2017,65.19,29.13,58.91,70.7,577,98.0,294.3
Tony Finau,57.53,2017,68.96,29.26,59.38,69.987,"1,024",74.0,302.0
Jhonattan Vegas,57.28,2017,65.91,29.58,58.15,71.054,"1,023",66.0,306.0
Matt Jones,57.09,2017,63.1,28.7,63.17,70.719,248,64.0,302.6
Scott Stallings,57.04,2017,67.89,29.65,55.51,70.811,438,81.0,297.6
Ryan Palmer,56.94,2017,65.9,30.08,57.83,71.116,336,61.0,303.1
Byeong Hun An,56.76,2017,64.52,29.2,55.93,70.887,468,84.0,303.7
Dominic Bozzelli,56.57,2017,61.97,28.6,57.75,71.49,394,69.0,294.4
Jamie Lovemark,56.54,2017,65.94,28.87,60.11,70.391,787,98.0,304.5
Patrick Reed,56.52,2017,62.09,28.33,60.92,70.453,896,107.0,295.3
Luke Donald,56.5,2017,61.92,28.56,59.88,70.831,424,50.0,278.5
Dustin Johnson,56.44,2017,69.61,29.0,62.63,69.54899999999999,"2,466",77.0,314.4
Brad Fritsch,56.4,2017,64.21,29.54,56.42,71.855,74,56.0,288.3
Cameron Smith,56.26,2017,63.14,28.52,58.64,70.90899999999999,847,86.0,292.6
Nicholas Lindheim,56.19,2017,65.67,29.25,56.65,72.205,93,58.0,287.1
Grayson Murray,56.01,2017,63.95,28.68,53.77,71.064,638,94.0,308.2
Tom Hoge,55.99,2017,66.06,28.72,60.14,71.32600000000001,187,54.0,285.1
Adam Scott,55.99,2017,66.87,29.29,59.28,69.99600000000001,642,58.0,306.1
Jimmy Walker,55.97,2017,63.75,28.86,57.92,71.155,439,68.0,295.7
Si Woo Kim,55.92,2017,58.84,29.13,55.13,72.253,839,80.0,288.4
Andres Gonzales,55.75,2017,67.71,29.06,61.85,71.112,226,73.0,299.2
Nick Watney,55.67,2017,66.43,29.45,58.99,70.685,386,75.0,300.9
Luke List,55.63,2017,69.1,29.52,56.33,70.428,741,66.0,310.9
Derek Fathauer,55.49,2017,62.81,28.64,53.78,71.568,408,81.0,286.5
Phil Mickelson,55.05,2017,62.85,28.25,60.0,70.168,734,85.0,293.5
Rory McIlroy,54.97,2017,65.94,28.65,63.12,69.529,803,48.0,317.5
Smylie Kaufman,54.79,2017,65.26,29.24,55.18,71.432,316,76.0,304.8
Cody Gribble,54.77,2017,62.7,28.53,54.74,71.581,514,79.0,297.2
Charles Howell III,54.72,2017,67.01,29.11,62.63,70.37100000000001,"1,102",86.0,296.9
Ernie Els,54.48,2017,56.6,28.52,56.0,72.179,50,52.0,283.6
Sebastián Muñoz,54.45,2017,63.15,28.84,56.92,71.263,241,51.0,296.0
Camilo Villegas,54.37,2017,61.88,28.31,62.35,70.881,464,76.0,288.7
Ricky Barnes,54.32,2017,63.53,28.62,60.1,71.221,324,100.0,284.9
Whee Kim,54.32,2017,62.09,28.12,62.07,70.964,505,74.0,289.4
Stewart Cink,54.15,2017,68.54,29.11,58.53,70.21300000000001,583,93.0,295.8
Brooks Koepka,54.14,2017,62.28,28.32,56.2,69.847,"1,736",88.0,310.5
Justin Thomas,54.09,2017,67.33,28.29,60.54,69.359,"2,689",80.0,303.9
Jason Day,53.73,2017,63.98,28.22,59.04,70.115,756,71.0,306.3
Charl Schwartzel,53.59,2017,61.69,28.45,60.5,70.211,727,63.0,298.4
Seamus Power,53.27,2017,65.63,28.46,63.43,70.543,350,86.0,298.1
Gonzalo Fernandez-Castaño,53.26,2017,62.2,28.41,64.3,71.484,118,63.0,292.1
Trey Mullinax,53.26,2017,66.24,29.0,55.91,71.027,330,64.0,311.8
Seung-Yul Noh,53.09,2017,65.58,28.74,59.18,70.955,446,91.0,298.5
Patrick Rodgers,52.9,2017,65.84,29.85,53.63,71.432,639,100.0,304.6
Martin Flores,52.79,2017,70.64,29.86,57.01,70.885,383,88.0,300.6
Patton Kizzire,52.54,2017,63.52,29.09,54.31,71.598,519,84.0,293.0
Kevin Tway,52.48,2017,64.71,28.86,59.03,70.868,619,96.0,309.2
Brandon Hagy,52.46,2017,64.5,29.06,60.16,70.875,419,85.0,312.7
Aaron Baddeley,52.25,2017,62.57,28.49,59.9,71.483,325,61.0,292.6
Carl Pettersson,51.94,2017,57.91,28.34,53.91,72.419,74,63.0,280.2
Ryo Ishikawa,51.92,2017,63.29,28.86,57.84,71.99,148,56.0,288.8
Ollie Schniederjans,51.89,2017,66.03,29.15,58.65,70.704,882,92.0,300.7
Ryan Brehm,51.13,2017,67.5,29.55,57.14,71.178,188,83.0,310.5
Harris English,49.8,2017,63.73,28.71,59.79,70.848,397,72.0,301.1
J.B. Holmes,49.75,2017,62.19,28.88,56.12,70.66,543,83.0,306.4
Matt Every,48.41,2017,60.16,28.94,48.01,72.671,175,76.0,297.7
Andrew Loupe,45.93,2017,59.83,29.63,50.27,72.803,105,55.0,311.3
Steven Bowditch,45.37,2017,53.54,29.2,51.96,74.4,9,59.0,287.3
Colt Knost,73.36,2016,65.25,28.83,61.9,70.785,803,90.0,269.7
Thomas Aiken,72.36,2016,70.2,30.08,56.21,71.32600000000001,268,70.0,290.5
Jerry Kelly,71.2,2016,66.67,29.17,64.04,70.937,692,76.0,278.2
Brian Stuard,71.07,2016,63.3,28.76,62.16,71.242,680,66.0,277.7
Zac Blair,69.86,2016,62.34,28.69,62.73,71.49,553,99.0,275.3
Roberto Castro,69.37,2016,69.13,29.25,60.11,70.58800000000001,810,97.0,284.2
Jim Furyk,69.09,2016,68.27,29.71,57.24,70.13,591,52.0,280.8
Russell Knox,68.51,2016,69.73,29.52,61.86,70.319,"2,001",92.0,285.8
John Huh,68.3,2016,66.21,29.07,62.09,71.104,526,86.0,284.7
Chez Reavie,68.22,2016,68.09,29.05,62.75,70.661,630,90.0,287.3
David Toms,67.98,2016,65.5,29.21,61.04,70.872,455,62.0,269.7
Spencer Levin,67.79,2016,66.33,29.0,59.41,70.92699999999999,644,104.0,281.3
Graeme McDowell,67.7,2016,64.44,29.22,58.85,70.899,"1,142",63.0,281.4
Jason Bohn,67.56,2016,66.33,28.79,56.16,71.126,667,67.0,276.3
David Lingmerth,67.36,2016,63.99,28.75,59.57,71.05,859,84.0,284.8
Boo Weekley,66.98,2016,67.87,29.42,58.33,71.0,532,83.0,291.5
Emiliano Grillo,66.93,2016,68.52,29.67,55.1,70.637,"1,109",93.0,294.3
Ryan Moore,66.52,2016,65.78,28.58,60.12,70.317,"1,235",86.0,283.2
Mark Wilson,66.2,2016,64.96,29.48,60.36,71.436,225,66.0,274.7
K.J. Choi,66.18,2016,65.37,28.84,61.54,71.093,705,73.0,275.3
David Hearn,65.94,2016,68.25,29.08,61.14,70.87,599,95.0,281.2
Alex Cejka,65.89,2016,67.99,28.55,65.03,70.675,754,71.0,281.5
Dicky Pride,65.86,2016,60.9,28.74,59.79,72.102,84,55.0,278.9
Matt Kuchar,65.67,2016,67.82,29.02,61.51,69.844,"1,349",100.0,285.8
Jim Herman,65.59,2016,65.65,29.43,58.96,71.206,923,93.0,291.1
Andrew Landry,65.55,2016,64.63,28.96,61.86,71.143,217,53.0,294.7
Abraham Ancer,65.42,2016,61.81,29.06,56.67,72.137,147,51.0,276.4
Billy Hurley III,65.36,2016,62.71,28.36,61.63,70.846,710,66.0,277.7
Kevin Na,65.3,2016,66.73,28.84,58.53,70.298,"1,529",96.0,279.6
Kyle Reifers,65.29,2016,67.62,29.34,55.95,70.965,821,115.0,287.3
William McGirt,65.28,2016,67.35,29.08,60.76,70.393,"1,360",98.0,287.6
Zach Johnson,65.23,2016,64.53,28.49,62.11,70.36399999999999,833,90.0,280.1
Kevin Kisner,64.92,2016,65.19,28.64,56.88,70.48899999999999,"1,491",97.0,289.0
Mark Hubbard,64.82,2016,63.52,28.75,59.97,71.362,503,101.0,280.2
Scott Langley,64.81,2016,63.93,29.14,62.35,71.796,266,65.0,285.7
Paul Casey,64.67,2016,70.8,29.69,61.44,69.95,710,77.0,295.2
Keegan Bradley,64.57,2016,69.58,30.11,54.57,70.741,545,76.0,303.9
Kyle Stanley,64.54,2016,67.17,29.47,55.13,70.986,497,92.0,288.1
Chad Campbell,64.39,2016,68.15,29.39,62.21,70.566,633,90.0,287.9
Lucas Glover,64.37,2016,71.63,29.8,57.18,70.53399999999999,587,75.0,298.3
Kevin Streelman,64.37,2016,69.17,29.77,52.97,71.054,692,82.0,289.1
Jon Curran,64.35,2016,63.02,28.28,63.28,71.145,840,99.0,271.9
Ken Duke,64.18,2016,59.26,28.94,52.53,71.88,309,58.0,280.2
Danny Lee,64.05,2016,63.95,29.12,57.19,71.118,699,93.0,286.6
Rod Pampling,63.95,2016,64.0,29.08,61.73,71.607,122,54.0,287.7
Francesco Molinari,63.76,2016,64.93,29.17,60.4,70.436,550,64.0,286.7
Scott Brown,63.65,2016,65.03,29.22,59.03,71.098,643,88.0,292.5
Jason Gore,63.63,2016,66.52,29.23,58.3,71.627,307,78.0,289.2
Adam Hadwin,63.62,2016,66.07,28.55,58.27,70.719,638,93.0,290.1
Whee Kim,63.48,2016,65.74,29.56,58.0,71.472,444,82.0,287.6
Brian Harman,63.41,2016,64.85,28.64,61.4,70.99600000000001,607,104.0,289.7
Henrik Norlander,63.39,2016,68.24,29.48,60.31,71.157,273,71.0,288.1
Steve Stricker,63.23,2016,63.0,27.96,66.01,69.99600000000001,583,53.0,278.0
Ben Crane,63.18,2016,63.6,28.61,61.65,70.908,500,80.0,280.3
Russell Henley,63.15,2016,68.27,29.3,61.06,70.558,642,76.0,295.6
Scott Pinckney,63.05,2016,69.02,29.96,52.53,71.524,258,87.0,296.8
Si Woo Kim,62.84,2016,64.83,28.6,62.32,70.56,"1,382",113.0,293.5
Jason Dufner,62.83,2016,70.15,29.59,56.39,70.212,"1,273",105.0,293.2
Bryce Molder,62.53,2016,61.32,28.01,65.38,70.90100000000001,652,80.0,280.2
Blayne Barber,62.37,2016,66.74,29.36,57.62,71.032,520,84.0,289.6
Tim Wilkinson,62.36,2016,64.71,28.54,63.66,70.704,426,72.0,279.3
Bill Haas,62.34,2016,67.14,29.44,63.3,70.444,"1,129",86.0,289.6
Stuart Appleby,62.24,2016,61.43,28.14,63.26,70.95,360,71.0,282.7
Rory Sabbatini,62.18,2016,64.3,29.76,56.48,72.45100000000001,143,57.0,287.6
Webb Simpson,62.17,2016,67.14,29.36,59.42,70.359,666,70.0,286.3
Ben Martin,62.14,2016,66.73,29.26,54.84,71.282,741,92.0,288.8
Hideki Matsuyama,62.04,2016,68.11,28.82,60.86,70.03399999999999,"1,468",76.0,294.5
Chris Kirk,62.02,2016,64.05,28.67,62.73,70.92,749,90.0,285.9
Shane Lowry,61.85,2016,64.51,29.56,53.91,70.64,615,57.0,298.7
Sergio Garcia,61.76,2016,70.15,29.75,57.66,69.999,"1,306",54.0,299.9
Louis Oosthuizen,61.67,2016,68.15,29.7,54.21,70.327,769,63.0,294.0
Vaughn Taylor,61.59,2016,64.43,28.99,54.66,71.028,726,72.0,287.0
Fabián Gómez,61.44,2016,63.71,29.06,56.59,71.346,924,82.0,289.0
Hudson Swafford,61.43,2016,68.8,29.48,54.97,70.875,603,104.0,306.9
Geoff Ogilvy,61.24,2016,63.65,29.27,56.22,71.464,283,63.0,291.9
Johnson Wagner,61.13,2016,69.38,29.37,57.81,70.781,598,86.0,289.4
Rory McIlroy,61.06,2016,69.62,29.18,58.7,69.646,973,48.0,317.5
George McNeill,60.99,2016,64.16,29.43,53.5,71.848,134,51.0,284.5
Wes Roach,60.99,2016,63.23,28.93,56.04,71.7,241,59.0,294.7
Brett Stegmaier,60.93,2016,66.8,29.52,58.27,70.995,559,87.0,295.3
Troy Merritt,60.89,2016,63.13,28.61,57.93,71.67399999999999,482,77.0,287.2
D.H. Lee,60.85,2016,60.14,28.96,50.61,73.415,104,61.0,280.4
Will MacKenzie,60.81,2016,66.39,29.58,57.23,71.402,317,84.0,285.6
James Hahn,60.71,2016,64.58,29.47,55.72,71.245,878,85.0,290.9
Billy Horschel,60.71,2016,67.7,29.5,54.55,70.548,694,73.0,293.0
Chris Stroud,60.7,2016,66.6,29.19,56.96,71.101,412,82.0,286.3
Kevin Chappell,60.68,2016,66.37,29.04,59.15,70.501,"1,422",93.0,296.3
Padraig Harrington,60.66,2016,62.96,28.7,60.0,71.032,393,54.0,289.6
Michael Thompson,60.57,2016,66.18,29.29,57.49,71.204,340,71.0,291.4
Marc Leishman,60.55,2016,65.31,28.85,60.34,70.554,765,89.0,295.0
Peter Malnati,60.54,2016,62.09,28.34,58.79,71.686,596,85.0,279.7
Kelly Kraft,60.36,2016,67.42,29.17,56.07,71.333,273,63.0,289.8
Steve Wheatcroft,60.32,2016,61.93,28.67,60.36,71.429,400,85.0,286.2
Brendan Steele,60.29,2016,68.72,29.8,54.76,70.855,791,88.0,302.2
Graham DeLaet,60.11,2016,68.35,29.74,52.39,71.074,487,70.0,297.9
Derek Ernst,60.1,2016,66.18,29.65,60.52,72.075,159,59.0,294.6
John Senden,60.07,2016,68.86,29.48,59.13,70.717,577,88.0,289.7
Sam Saunders,59.78,2016,64.36,29.18,56.59,71.42699999999999,324,69.0,291.8
Cameron Tringale,59.57,2016,65.66,29.13,57.14,71.256,539,81.0,285.1
D.A. Points,59.47,2016,65.36,29.18,57.86,71.655,167,55.0,282.3
Scott Piercy,59.41,2016,67.33,29.48,57.29,70.855,"1,077",87.0,297.9
Sung Kang,59.36,2016,65.26,29.06,59.74,70.85600000000001,473,89.0,292.4
Willy Wilcox,59.34,2016,63.42,28.74,58.18,71.055,399,67.0,292.9
J.J. Henry,59.33,2016,67.51,30.45,53.11,72.01899999999999,162,68.0,287.3
Harold Varner III,59.33,2016,66.24,29.73,56.53,71.045,643,92.0,302.0
Jeff Overton,59.25,2016,63.85,29.05,63.59,71.46600000000001,289,69.0,285.0
Greg Owen,59.22,2016,69.75,30.33,51.7,71.67699999999999,319,85.0,297.7
Cameron Smith,59.21,2016,62.72,29.22,55.29,71.759,304,73.0,286.3
Brendon de Jonge,59.19,2016,65.64,29.25,56.49,71.60300000000001,304,83.0,287.5
Freddie Jacobson,59.03,2016,64.86,28.48,60.29,70.809,714,86.0,280.3
Martin Piller,58.97,2016,64.33,28.84,58.47,71.813,278,59.0,286.6
Sean O'Hair,58.84,2016,67.17,29.02,57.79,70.67699999999999,536,89.0,302.2
Rickie Fowler,58.69,2016,69.26,29.16,62.21,70.118,"1,131",66.0,302.1
Brandt Snedeker,58.69,2016,65.67,28.66,62.73,70.203,"1,717",93.0,292.6
Daniel Summerhays,58.65,2016,63.02,28.54,57.21,70.771,963,99.0,288.0
Michael Kim,58.64,2016,62.96,28.54,61.25,71.203,500,92.0,300.7
Brooks Koepka,58.6,2016,66.98,28.81,55.53,69.956,"1,348",75.0,302.6
Steve Marino,58.46,2016,66.01,29.37,56.97,71.467,429,72.0,292.0
Jason Kokrak,58.41,2016,68.66,29.64,58.37,70.57,721,89.0,307.4
Stewart Cink,58.4,2016,70.4,30.18,53.54,70.846,331,61.0,296.9
Shawn Stefani,58.4,2016,66.48,29.59,60.57,71.28699999999999,459,91.0,292.1
Hiroshi Iwata,58.34,2016,59.5,28.34,59.34,71.693,339,85.0,288.8
Jordan Spieth,58.14,2016,63.52,27.82,63.93,69.52,"1,965",76.0,304.5
Ángel Cabrera,58.06,2016,63.08,29.66,55.1,72.175,187,62.0,294.6
Brendon Todd,58.02,2016,54.23,27.86,61.46,72.72800000000001,60,66.0,280.1
Tyler Aldridge,57.95,2016,65.54,29.43,57.96,71.41199999999999,384,83.0,285.2
Justin Rose,57.9,2016,67.92,29.58,58.1,70.148,829,65.0,303.9
Ryan Palmer,57.88,2016,67.83,28.92,57.63,70.229,731,86.0,304.7
Morgan Hoffmann,57.8,2016,63.27,28.94,58.24,71.372,424,71.0,294.4
Jonas Blixt,57.79,2016,60.96,27.99,61.05,71.19,572,79.0,290.3
Patrick Rodgers,57.74,2016,69.22,29.75,58.17,70.833,739,100.0,304.6
Matt Jones,57.55,2016,63.96,29.11,56.26,71.223,445,83.0,294.8
Robert Streb,57.48,2016,66.2,29.9,55.77,71.223,590,87.0,294.7
Chad Collins,57.41,2016,62.4,28.81,60.53,71.532,402,73.0,279.3
Jamie Lovemark,57.32,2016,65.32,28.9,61.44,70.896,904,91.0,304.8
Bronson Burgoon,57.3,2016,66.24,29.3,58.33,71.132,428,83.0,293.1
Nick Taylor,57.21,2016,65.82,29.0,59.26,71.281,441,83.0,296.2
Dustin Johnson,57.17,2016,67.82,28.49,59.58,69.172,"2,701",87.0,313.6
Hunter Mahan,57.13,2016,62.75,29.16,55.26,72.105,174,61.0,294.8
Scott Stallings,56.95,2016,66.11,29.11,58.08,70.96600000000001,443,74.0,295.5
Dawie van der Walt,56.89,2016,66.75,29.49,52.03,71.376,239,72.0,290.2
Charl Schwartzel,56.86,2016,68.73,29.34,59.64,70.00399999999999,"1,127",73.0,296.7
Vijay Singh,56.73,2016,62.73,29.01,56.52,71.057,586,72.0,289.8
Luke Donald,56.69,2016,64.61,28.95,64.15,70.918,849,81.0,282.9
Gary Woodland,56.69,2016,68.74,29.26,60.16,70.234,907,68.0,313.3
Daniel Berger,56.68,2016,67.67,29.08,56.95,70.339,"1,254",80.0,300.4
Chesson Hadley,56.58,2016,65.26,29.25,54.05,71.541,293,81.0,296.5
Jhonattan Vegas,56.57,2016,69.71,29.68,58.97,70.903,"1,119",66.0,306.0
Retief Goosen,56.4,2016,62.73,28.44,60.16,70.581,380,55.0,288.8
Anirban Lahiri,56.31,2016,62.88,28.88,56.4,71.139,494,72.0,291.7
Patrick Reed,55.96,2016,64.65,28.4,63.97,70.17,"1,575",105.0,297.4
Tom Hoge,55.81,2016,62.48,28.83,58.46,71.444,349,81.0,289.5
Adam Scott,55.55,2016,70.76,29.5,59.5,69.47,"2,063",79.0,304.6
Luke Guthrie,55.53,2016,63.13,28.29,60.55,71.416,234,57.0,289.3
Aaron Baddeley,55.42,2016,63.11,28.06,64.3,70.888,874,93.0,291.7
Rob Oppenheim,55.28,2016,63.58,29.14,59.56,71.435,300,67.0,281.2
Patton Kizzire,55.23,2016,64.48,28.88,56.24,70.921,760,93.0,291.3
Branden Grace,55.14,2016,66.76,29.28,59.05,70.204,"1,187",63.0,295.6
Martin Laird,55.14,2016,67.66,29.31,58.37,70.867,605,82.0,298.5
Bubba Watson,55.11,2016,69.16,29.78,52.74,70.333,"1,235",72.0,310.6
Robert Allenby,55.06,2016,63.73,30.41,50.75,73.117,9,51.0,282.2
Harris English,55.01,2016,64.83,28.88,60.1,70.46300000000001,"1,032",72.0,301.1
Phil Mickelson,54.82,2016,66.05,28.21,64.32,69.582,"1,532",75.0,294.8
Charley Hoffman,54.8,2016,64.58,29.17,57.75,70.658,"1,087",72.0,305.3
Andres Gonzales,54.55,2016,66.17,29.5,55.79,71.681,307,80.0,294.7
Ricky Barnes,54.27,2016,65.77,28.52,59.86,70.78399999999999,718,97.0,287.6
Justin Thomas,53.94,2016,65.63,29.28,55.56,70.571,"1,512",80.0,303.9
Robert Garrigus,53.91,2016,69.32,29.57,53.48,70.848,558,69.0,303.3
Erik Compton,53.64,2016,58.64,28.3,56.93,71.884,236,65.0,284.7
Ernie Els,52.93,2016,61.2,28.82,54.66,71.37100000000001,273,66.0,292.8
Smylie Kaufman,52.91,2016,66.29,29.18,54.87,71.015,"1,181",91.0,299.0
Tyrone Van Aswegen,52.91,2016,64.81,29.15,60.84,71.189,550,105.0,288.0
Carlos Ortiz,52.77,2016,64.44,29.47,50.0,71.906,238,79.0,298.9
Charles Howell III,52.6,2016,68.01,29.08,60.88,70.418,931,91.0,303.4
Tony Finau,52.48,2016,65.09,29.2,57.96,70.797,864,74.0,302.0
Rhein Gibson,52.45,2016,68.11,29.96,54.84,72.086,113,58.0,297.5
Camilo Villegas,52.18,2016,62.1,28.81,59.55,71.44,313,83.0,287.0
Derek Fathauer,52.02,2016,62.0,28.5,59.1,71.07300000000001,491,94.0,288.2
J.B. Holmes,51.68,2016,65.17,28.84,56.68,70.523,956,77.0,314.5
Luke List,50.98,2016,67.17,29.14,60.88,70.75399999999999,481,66.0,310.9
Jason Day,50.46,2016,67.23,28.06,61.92,69.313,"2,735",76.0,304.2
Seung-Yul Noh,49.12,2016,64.54,28.9,57.25,71.061,454,85.0,295.3
Jimmy Walker,48.31,2016,63.96,28.78,57.71,70.393,"1,352",85.0,301.3
Andrew Loupe,45.56,2016,63.41,28.63,52.83,71.423,535,75.0,309.3
Steven Bowditch,43.02,2016,54.46,28.61,49.14,74.262,192,71.0,288.9
Francesco Molinari,76.88,2015,71.07,29.94,58.33,70.458,558,56.0,281.6
David Toms,74.5,2015,64.66,28.74,63.96,71.092,383,62.0,270.0
Chez Reavie,71.89,2015,69.64,29.63,55.88,71.146,268,56.0,286.3
Justin Leonard,71.7,2015,62.57,28.82,61.8,71.517,188,61.0,271.6
Jason Bohn,71.58,2015,68.89,28.54,60.9,70.235,"1,037",95.0,277.1
Steven Alker,71.41,2015,66.57,28.73,61.5,71.094,216,62.0,278.3
Colt Knost,71.24,2015,67.44,28.98,58.93,70.69800000000001,628,90.0,276.6
Zach Johnson,71.21,2015,68.58,28.78,60.98,69.753,"1,559",90.0,282.6
Jerry Kelly,70.45,2015,65.96,28.46,64.46,70.383,632,79.0,277.2
Brendon Todd,70.24,2015,65.47,28.39,62.63,70.533,831,96.0,276.4
Ryan Moore,70.05,2015,65.24,28.51,60.25,70.829,"1,208",81.0,282.6
Henrik Stenson,69.91,2015,73.52,29.87,62.24,69.354,952,63.0,296.4
Heath Slocum,69.51,2015,62.79,29.25,56.9,72.362,62,57.0,275.8
John Huh,69.44,2015,64.85,28.71,62.6,71.03699999999999,565,102.0,279.8
Brian Stuard,69.31,2015,63.2,28.57,60.23,71.34100000000001,447,97.0,276.5
Spencer Levin,69.09,2015,68.27,29.6,59.75,70.837,496,99.0,283.7
Jim Furyk,69.08,2015,69.79,29.39,62.93,69.845,"1,401",71.0,281.9
Willy Wilcox,68.98,2015,72.53,29.46,62.55,69.804,649,58.0,296.6
Nicholas Thompson,68.7,2015,68.6,29.81,52.06,71.396,442,90.0,286.0
Kevin Streelman,68.63,2015,68.99,29.65,58.66,71.282,771,95.0,289.5
Cameron Tringale,68.5,2015,64.58,29.0,62.09,70.92,816,96.0,281.8
John Merrick,68.32,2015,67.64,29.65,57.31,71.334,311,78.0,285.0
Zac Blair,67.91,2015,65.54,28.68,64.81,70.714,538,108.0,273.1
Ken Duke,67.91,2015,64.17,29.01,58.71,71.306,493,93.0,278.1
William McGirt,67.87,2015,67.85,28.96,64.09,70.64699999999999,652,103.0,280.4
Webb Simpson,67.85,2015,67.81,29.35,64.38,70.31,953,81.0,289.4
Jason Dufner,67.81,2015,69.03,29.6,55.28,70.633,546,76.0,286.7
Russell Knox,67.76,2015,70.83,29.56,59.92,70.421,914,96.0,284.4
Brian Davis,67.66,2015,62.26,28.51,60.68,71.656,387,86.0,275.5
John Peterson,67.52,2015,68.32,29.21,63.47,70.735,588,84.0,288.1
Ben Crane,67.49,2015,63.22,28.95,61.98,71.975,182,62.0,271.0
Jon Curran,67.46,2015,66.39,29.28,61.72,70.84899999999999,540,83.0,273.5
Jim Herman,67.1,2015,73.23,30.22,58.02,70.719,610,88.0,293.8
Kevin Kisner,66.85,2015,66.24,28.72,62.66,70.344,"1,416",104.0,287.8
Bryce Molder,66.8,2015,65.45,28.68,62.85,70.779,595,91.0,277.9
Jason Gore,66.67,2015,67.52,29.4,54.87,71.273,564,76.0,290.4
John Senden,66.6,2015,67.26,29.53,55.2,71.09,610,80.0,290.2
Mark Hubbard,66.32,2015,66.81,29.23,61.52,71.227,274,79.0,278.5
Billy Hurley III,65.91,2015,65.26,28.84,64.17,71.043,420,83.0,271.9
Roberto Castro,65.76,2015,66.11,29.8,54.43,71.334,167,54.0,279.8
Chad Campbell,65.75,2015,68.61,29.41,59.31,70.604,670,97.0,285.2
Sung Joon Park,65.73,2015,64.72,29.23,64.42,71.469,426,79.0,283.7
Pat Perez,65.7,2015,67.88,28.71,60.0,70.666,825,96.0,284.6
Brendon de Jonge,65.69,2015,67.51,29.03,59.19,70.642,892,106.0,285.3
Jonathan Byrd,65.6,2015,67.35,28.94,64.92,70.83,335,69.0,287.5
David Lingmerth,65.51,2015,64.94,28.66,61.27,70.8,"1,305",90.0,289.5
Graham DeLaet,65.46,2015,69.15,29.26,57.34,70.72,545,65.0,298.7
Adam Hadwin,65.43,2015,66.55,29.15,58.39,71.021,584,95.0,288.2
Hideki Matsuyama,65.25,2015,69.2,28.79,61.92,69.94,"1,374",95.0,294.5
Ben Martin,65.09,2015,68.7,29.64,54.04,70.95,"1,217",93.0,288.1
Davis Love III,64.94,2015,67.43,29.67,57.19,71.289,649,51.0,294.7
Keegan Bradley,64.85,2015,67.53,29.49,58.25,70.45,759,76.0,303.9
Mark Wilson,64.53,2015,67.84,29.35,60.37,70.991,497,89.0,279.2
Russell Henley,64.39,2015,67.06,29.01,57.43,70.581,986,87.0,297.1
Brian Harman,64.37,2015,66.67,29.09,59.63,70.64699999999999,704,90.0,287.9
Derek Ernst,64.3,2015,66.51,29.7,57.24,71.453,250,75.0,295.1
Chris Stroud,64.22,2015,65.67,28.95,59.92,71.194,531,84.0,283.0
Paul Casey,64.16,2015,72.36,29.77,56.13,69.806,"1,389",87.0,297.8
David Hearn,64.16,2015,67.98,28.93,57.42,70.843,890,97.0,280.6
George McNeill,64.1,2015,66.43,29.01,61.21,70.47800000000001,715,93.0,286.2
K.J. Choi,64.09,2015,63.8,28.71,63.12,71.372,358,66.0,276.5
Sam Saunders,64.0,2015,65.23,29.37,57.79,71.668,413,83.0,293.2
Danny Lee,63.92,2015,65.69,28.27,60.86,70.398,"1,561",120.0,283.1
Justin Rose,63.87,2015,70.54,29.17,59.14,69.744,"1,742",69.0,303.5
Kevin Chappell,63.86,2015,66.02,28.95,59.32,70.672,602,86.0,293.5
Chad Collins,63.82,2015,66.1,28.56,66.18,70.681,504,79.0,278.4
Lucas Glover,63.82,2015,70.46,30.54,55.0,71.291,375,79.0,296.9
Alex Cejka,63.78,2015,65.7,28.93,60.39,71.117,739,94.0,283.3
Billy Horschel,63.77,2015,69.33,29.71,57.61,71.05,903,99.0,295.0
Blayne Barber,63.72,2015,66.44,28.89,59.51,71.127,380,76.0,288.6
Bill Lunde,63.59,2015,68.72,30.02,57.53,71.796,117,50.0,287.7
Ian Poulter,63.58,2015,65.71,28.81,60.76,70.421,777,68.0,286.7
Bill Haas,63.35,2015,68.8,29.58,61.9,70.672,"1,281",89.0,290.7
Hudson Swafford,63.34,2015,68.54,29.32,55.39,70.732,554,97.0,298.9
Boo Weekley,63.27,2015,67.72,29.27,59.91,70.775,776,79.0,292.0
Matt Kuchar,63.23,2015,66.55,28.39,63.78,70.04,"1,164",97.0,288.5
Tim Wilkinson,63.09,2015,62.44,28.92,58.33,71.944,183,73.0,279.1
Robert Allenby,63.06,2015,66.67,30.03,51.69,72.102,169,63.0,282.7
Steve Wheatcroft,63.03,2015,64.59,28.59,60.68,71.072,536,87.0,288.3
Jordan Spieth,62.91,2015,67.87,27.82,65.03,68.938,"4,169",76.0,304.5
Troy Merritt,62.83,2015,63.37,28.59,61.83,71.458,930,91.0,285.2
